,t(min),Te[K],Tc[K],dT[K],P[bar],TR[K/W]
0,0.0,300.15,298.4,1.75,1.0132495713687668,0.021875
1,0.5,300.15,298.4,1.75,1.0132495713687668,0.021875
2,1.0,301.82,298.15,3.67,1.0132495713687668,0.045833
3,1.5,303.82,298.15,5.67,1.0132495713687668,0.070833
4,2.0,305.15,298.4,6.75,1.0132495713687668,0.084375
5,2.5,308.15,298.65,9.5,1.0132495713687668,0.11875
6,3.0,310.47999999999996,299.4,11.08,1.0132495713687668,0.138542
7,3.5,312.47999999999996,299.9,12.58,1.0132495713687668,0.157292
8,4.0,314.15,300.4,13.75,1.0132495713687668,0.171875
9,4.5,315.82,301.15,14.67,1.0132495713687668,0.183333
10,5.0,317.82,301.4,16.42,1.0132495713687668,0.205208
11,5.5,320.47999999999996,302.15,18.33,1.0132495713687668,0.229167
12,6.0,321.82,303.65,18.17,1.0132495713687668,0.227083
13,6.5,325.15,304.65,20.5,1.0625788268169831,0.25625
14,7.0,328.15,306.4,21.75,1.0625788268169831,0.271875
15,7.5,329.82,307.4,22.42,1.0625788268169831,0.280208
16,8.0,331.47999999999996,308.15,23.33,1.1119080822651994,0.291667
17,8.5,333.15,308.9,24.25,1.1119080822651994,0.303125
18,9.0,334.82,310.4,24.42,1.1119080822651994,0.305208
19,9.5,337.15,311.15,26.0,1.1119080822651994,0.325
20,10.0,337.47999999999996,311.15,26.33,1.1119080822651994,0.329167
21,10.5,339.47999999999996,311.9,27.58,1.1119080822651994,0.344792
22,11.0,341.15,312.65,28.5,1.1599041145931936,0.35625
23,11.5,342.82,313.4,29.42,1.1599041145931936,0.367708
24,12.0,343.15,313.65,29.5,1.20923337004141,0.36875
25,12.5,345.47999999999996,314.15,31.33,1.20923337004141,0.391667
26,13.0,345.82,315.4,30.42,1.20923337004141,0.380208
27,13.5,347.15,315.65,31.5,1.20923337004141,0.39375
28,14.0,349.15,316.9,32.25,1.2585626254896263,0.403125
29,14.5,350.47999999999996,317.65,32.83,1.2585626254896263,0.410417
30,15.0,351.15,318.4,32.75,1.2585626254896263,0.409375
31,15.5,351.15,318.9,32.25,1.3078918809378424,0.403125
32,16.0,352.47999999999996,319.4,33.08,1.3078918809378424,0.413542
33,16.5,352.82,322.15,30.67,1.3558879132658366,0.383333
34,17.0,353.82,321.4,32.42,1.3558879132658366,0.405208
35,17.5,355.47999999999996,320.9,34.58,1.3558879132658366,0.432292
36,18.0,356.15,321.4,34.75,1.4052171687140529,0.434375
37,18.5,357.15,322.9,34.25,1.4052171687140529,0.428125
38,19.0,357.82,323.15,34.67,1.4052171687140529,0.433333
39,19.5,358.15,323.15,35.0,1.4052171687140529,0.4375
40,20.0,359.15,324.4,34.75,1.4545464241622692,0.434375
41,20.5,359.82,324.4,35.42,1.4545464241622692,0.442708
42,21.0,361.47999999999996,324.9,36.58,1.4545464241622692,0.457292
43,21.5,362.47999999999996,325.9,36.58,1.5038756796104855,0.457292
44,22.0,361.15,325.9,35.25,1.5038756796104855,0.440625
45,22.5,362.82,326.9,35.92,1.5038756796104855,0.448958
46,23.0,363.15,327.4,35.75,1.5038756796104855,0.446875
47,23.5,364.47999999999996,328.15,36.33,1.5038756796104855,0.454167
48,24.0,364.15,327.65,36.5,1.5532049350587018,0.45625
49,24.5,363.15,327.4,35.75,1.5532049350587018,0.446875
50,25.0,364.47999999999996,328.65,35.83,1.5532049350587018,0.447917
51,25.5,364.47999999999996,329.9,34.58,1.5532049350587018,0.432292
52,26.0,364.15,329.15,35.0,1.601200967386696,0.4375
53,26.5,364.82,330.4,34.42,1.601200967386696,0.430208
54,27.0,365.47999999999996,329.4,36.08,1.601200967386696,0.451042
55,27.5,365.47999999999996,331.4,34.08,1.6505302228349124,0.426042
56,28.0,365.82,331.15,34.67,1.6505302228349124,0.433333
57,28.5,366.15,332.4,33.75,1.6505302228349124,0.421875
58,29.0,366.82,332.65,34.17,1.6505302228349124,0.427083
59,29.5,366.47999999999996,332.65,33.83,1.6505302228349124,0.422917
60,30.0,366.47999999999996,332.65,33.83,1.6998594782831287,0.422917
61,30.5,366.82,332.65,34.17,1.6998594782831287,0.427083
62,31.0,366.82,332.9,33.92,1.6998594782831287,0.423958
63,31.5,366.82,333.15,33.67,1.6998594782831287,0.420833
64,32.0,366.82,332.9,33.92,1.6998594782831287,0.423958
65,32.5,366.82,332.9,33.92,1.6998594782831287,0.423958
66,33.0,366.82,332.9,33.92,1.6998594782831287,0.423958
67,33.5,366.82,332.9,33.92,1.6998594782831287,0.423958
68,34.0,367.82,333.9,33.92,1.7491887337313448,0.423958
69,34.5,368.15,334.9,33.25,1.7491887337313448,0.415625
70,35.0,368.47999999999996,335.15,33.33,1.7491887337313448,0.416667
71,35.5,368.15,335.15,33.0,1.7491887337313448,0.4125
72,36.0,367.82,335.65,32.17,1.7491887337313448,0.402083
73,36.5,367.82,335.9,31.92,1.7491887337313448,0.398958
74,37.0,368.47999999999996,335.9,32.58,1.7491887337313448,0.407292
75,37.5,368.82,336.15,32.67,1.7491887337313448,0.408333
76,38.0,368.15,336.4,31.75,1.7491887337313448,0.396875
77,38.5,368.15,336.4,31.75,1.7491887337313448,0.396875
78,39.0,369.15,336.4,32.75,1.7491887337313448,0.409375
79,39.5,368.82,336.9,31.92,1.797184766059339,0.398958
80,40.0,368.82,337.15,31.67,1.797184766059339,0.395833
81,40.5,369.82,338.15,31.67,1.797184766059339,0.395833
82,41.0,369.15,337.65,31.5,1.797184766059339,0.39375
83,41.5,368.82,337.9,30.92,1.797184766059339,0.386458
84,42.0,369.82,338.4,31.42,1.797184766059339,0.392708
85,42.5,368.82,337.4,31.42,1.797184766059339,0.392708
86,43.0,369.15,337.4,31.75,1.797184766059339,0.396875
87,43.5,369.82,337.9,31.92,1.797184766059339,0.398958
88,44.0,369.15,337.4,31.75,1.797184766059339,0.396875
89,44.5,370.15,337.4,32.75,1.797184766059339,0.409375
90,45.0,369.15,338.4,30.75,1.797184766059339,0.384375
91,45.5,369.15,337.9,31.25,1.797184766059339,0.390625
92,46.0,370.47999999999996,337.9,32.58,1.797184766059339,0.407292
93,46.5,369.15,337.9,31.25,1.797184766059339,0.390625
94,47.0,369.15,337.9,31.25,1.797184766059339,0.390625
95,47.5,369.15,337.9,31.25,1.797184766059339,0.390625
96,48.0,369.47999999999996,337.4,32.08,1.797184766059339,0.401042
97,48.5,369.82,337.65,32.17,1.797184766059339,0.402083
98,49.0,370.15,337.9,32.25,1.797184766059339,0.403125
99,49.5,369.82,338.4,31.42,1.797184766059339,0.392708
100,50.0,369.47999999999996,338.4,31.08,1.797184766059339,0.388542
